民生银行
      序号        日期            开盘价         收盘价        最高价         最低价      成交手数
       0:     2008-06-02          3.192          3.214          3.245          3.161     499979.510
       1:     2008-06-03          3.196          3.156          3.210          3.147     470731.170
       2:     2008-06-04          3.147          3.125          3.165          3.090     549267.950
       3:     2008-06-05          3.112          3.112          3.147          3.081     349149.280
       4:     2008-06-06          3.125          3.112          3.143          3.094     376449.540
       5:     2008-06-10          2.979          2.801          3.001          2.801     882735.670
       6:     2008-06-11          2.778          2.707          2.796          2.681     587669.220
       7:     2008-06-12          2.694          2.650          2.716          2.596     687654.130
       8:     2008-06-13          2.672          2.641          2.703          2.614     630416.190
       9:     2008-06-16          2.667          2.694          2.765          2.623     699293.370
      10:     2008-06-17          2.707          2.650          2.734          2.632     594522.260
      11:     2008-06-18          2.618          2.761          2.778          2.561    1098109.550
      12:     2008-06-19          2.712          2.512          2.716          2.490     723644.660
      13:     2008-06-20          2.525          2.618          2.698          2.450     992994.350
      14:     2008-06-23          2.574          2.601          2.658          2.530     452518.280
      15:     2008-06-24          2.601          2.663          2.690          2.587     451611.900
      16:     2008-06-25          2.663          2.738          2.756          2.650     778082.890
      17:     2008-06-26          2.747          2.703          2.752          2.667     697950.020
      18:     2008-06-27          2.614          2.552          2.627          2.516     629575.020
      19:     2008-06-30          2.547          2.534          2.623          2.503     351813.470
      20:     2008-07-01          2.538          2.405          2.552          2.392     545286.090
      21:     2008-07-02          2.410          2.427          2.441          2.378     392353.520
      22:     2008-07-03          2.378          2.445          2.525          2.347     646853.780
      23:     2008-07-04          2.476          2.467          2.525          2.432     517370.840
      24:     2008-07-07          2.481          2.627          2.645          2.472     877520.510
      25:     2008-07-08          2.690          2.681          2.743          2.650    1295394.920
      26:     2008-07-09          2.707          2.814          2.894          2.707    1790405.820
      27:     2008-07-10          2.770          2.770          2.881          2.747    1249616.340
      28:     2008-07-11          2.765          2.743          2.792          2.712     779510.840
      29:     2008-07-14          2.730          2.774          2.810          2.712     569185.480
      30:     2008-07-15          2.796          2.618          2.805          2.587    1052376.490
      31:     2008-07-16          2.587          2.530          2.623          2.494     700259.140
      32:     2008-07-17          2.601          2.485          2.623          2.472     743406.080
      33:     2008-07-18          2.534          2.685          2.694          2.512    1111789.930
      34:     2008-07-21          2.645          2.747          2.756          2.614    1060894.440
      35:     2008-07-22          2.721          2.725          2.743          2.690     930203.810
      36:     2008-07-23          2.747          2.694          2.761          2.681     882914.300
      37:     2008-07-24          2.721          2.801          2.814          2.721    2143140.070
      38:     2008-07-25          2.756          2.787          2.850          2.730    1615892.740
      39:     2008-07-28          2.814          2.801          2.881          2.796    1507374.590
      40:     2008-07-29          2.756          2.738          2.774          2.703     904903.000
      41:     2008-07-30          2.770          2.716          2.783          2.707     860940.670
      42:     2008-07-31          2.730          2.650          2.738          2.645     644166.680
      43:     2008-08-01          2.650          2.747          2.801          2.623    1110852.700
      44:     2008-08-04          2.712          2.685          2.778          2.676     701370.360
      45:     2008-08-05          2.712          2.672          2.738          2.658     702957.240
      46:     2008-08-06          2.716          2.752          2.765          2.676    1086365.470
      47:     2008-08-07          2.752          2.707          2.774          2.685     705015.080
      48:     2008-08-08          2.712          2.592          2.721          2.578     815803.160
      49:     2008-08-11          2.583          2.507          2.667          2.498     940333.380
      50:     2008-08-12          2.498          2.507          2.547          2.467     475838.920
      51:     2008-08-13          2.485          2.481          2.516          2.401     536445.360
      52:     2008-08-14          2.463          2.490          2.503          2.436     323672.460
      53:     2008-08-15          2.494          2.525          2.556          2.467     450248.100
      54:     2008-08-18          2.543          2.423          2.552          2.414     370976.020
      55:     2008-08-19          2.405          2.494          2.512          2.396     381641.070
      56:     2008-08-20          2.467          2.725          2.734          2.458    1062035.950
      57:     2008-08-21          2.667          2.627          2.712          2.605     721819.340
      58:     2008-08-22          2.623          2.574          2.641          2.538     449610.150
      59:     2008-08-25          2.583          2.618          2.676          2.552     561370.270
      60:     2008-08-26          2.578          2.654          2.716          2.561     995917.750
      61:     2008-08-27          2.627          2.641          2.690          2.596     879567.530
      62:     2008-08-28          2.663          2.663          2.703          2.632     646858.480
      63:     2008-08-29          2.698          2.703          2.738          2.614    1792257.770
      64:     2008-09-01          2.672          2.605          2.685          2.570     995714.430
      65:     2008-09-02          2.578          2.552          2.583          2.507     665878.020
      66:     2008-09-03          2.534          2.476          2.561          2.450     768061.300
      67:     2008-09-04          2.467          2.507          2.521          2.454     404692.870
      68:     2008-09-05          2.441          2.441          2.476          2.410     451185.740
      69:     2008-09-08          2.463          2.410          2.476          2.387     569332.660
      70:     2008-09-09          2.423          2.423          2.436          2.392     436346.590
      71:     2008-09-10          2.401          2.432          2.472          2.374     476086.000
      72:     2008-09-11          2.427          2.352          2.427          2.325     663754.600
      73:     2008-09-12          2.352          2.338          2.365          2.312     358994.500
      74:     2008-09-16          2.267          2.107          2.267          2.103    1621761.880
      75:     2008-09-17          2.076          1.925          2.103          1.907    1493670.740
      76:     2008-09-18          1.840          2.001          2.045          1.823    1633180.680
      77:     2008-09-19          2.201          2.201          2.201          2.147    1125390.370
      78:     2008-09-22          2.423          2.423          2.423          2.258    5232272.590
      79:     2008-09-23          2.298          2.272          2.365          2.258    2283728.750
      80:     2008-09-24          2.205          2.249          2.258          2.134    1007360.930
